feature,manual_decision_status,final_encoding_decision,final_missing_handling_decision,final_validation_decision,manual_risk_level,manual_check_needed,manual_check_reason,drop_now,next_stage_use
FLAG_CONT_MOBILE,risk_corrected_and_route_refined,keep_rare_application_binary_validate_later,no_missing_handling_needed,rare_side_validation_later,medium,no,rare_side_binary,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_10,risk_corrected_and_route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,extreme_rare_side_or_almost_constant; test_constant_but_train_has_two_values; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_11,route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,rare_side_validation_later | group_redundancy_review_later,medium,no,rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_12,risk_corrected_and_route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,extreme_rare_side_or_almost_constant; test_constant_but_train_has_two_values; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_13,route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,rare_side_validation_later | group_redundancy_review_later,medium,no,rare_side_binary; test_constant_but_train_has_two_values; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_14,route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,rare_side_validation_later | group_redundancy_review_later,medium,no,rare_side_binary; test_constant_but_train_has_two_values; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_15,route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,rare_side_validation_later | group_redundancy_review_later,medium,no,rare_side_binary; test_constant_but_train_has_two_values; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_16,route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,rare_side_validation_later | group_redundancy_review_later,medium,no,rare_side_binary; test_constant_but_train_has_two_values; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_17,risk_corrected_and_route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,extreme_rare_side_or_almost_constant; test_constant_but_train_has_two_values; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_18,route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,rare_side_validation_later | group_redundancy_review_later,medium,no,rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_19,risk_corrected_and_route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,extreme_rare_side_or_almost_constant; test_constant_but_train_has_two_values; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_2,risk_corrected_and_route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,extreme_rare_side_or_almost_constant; test_constant_but_train_has_two_values; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_20,risk_corrected_and_route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,extreme_rare_side_or_almost_constant; test_constant_but_train_has_two_values; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_21,risk_corrected_and_route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,extreme_rare_side_or_almost_constant; test_constant_but_train_has_two_values; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_3,route_refined,keep_as_binary_0_1_with_stability_validation,no_missing_handling_needed,train_test_stability_validation | group_redundancy_review_later,medium,yes,visible_train_test_binary_shift; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_4,risk_corrected_and_route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_5,accepted,keep_as_binary_0_1,no_missing_handling_needed,group_redundancy_review_later,low,no,same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_6,accepted,keep_as_binary_0_1,no_missing_handling_needed,group_redundancy_review_later,low,no,same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_7,risk_corrected_and_route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_8,accepted,keep_as_binary_0_1,no_missing_handling_needed,group_redundancy_review_later,low,no,same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_DOCUMENT_9,route_refined,keep_rare_document_binary_validate_later,no_missing_handling_needed,rare_side_validation_later | group_redundancy_review_later,medium,no,rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_EMAIL,route_refined,keep_as_binary_0_1_with_stability_validation,no_missing_handling_needed,train_test_stability_validation,medium,yes,visible_train_test_binary_shift,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_EMP_PHONE,accepted,keep_as_binary_0_1,no_missing_handling_needed,standard_binary_validation_later,low,no,binary_decision_accepted,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_MOBIL,route_refined,keep_rare_application_binary_validate_later,no_missing_handling_needed,near_constant_or_extreme_rare_side_validation_later,medium,yes,extreme_rare_side_or_almost_constant,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_PHONE,accepted,keep_as_binary_0_1,no_missing_handling_needed,standard_binary_validation_later,low,no,binary_decision_accepted,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
FLAG_WORK_PHONE,accepted,keep_as_binary_0_1,no_missing_handling_needed,standard_binary_validation_later,low,no,binary_decision_accepted,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
LIVE_CITY_NOT_WORK_CITY,accepted,keep_as_binary_0_1,no_missing_handling_needed,standard_binary_validation_later,low,no,binary_decision_accepted,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
LIVE_REGION_NOT_WORK_REGION,accepted,keep_as_binary_0_1,no_missing_handling_needed,standard_binary_validation_later,low,no,binary_decision_accepted,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
REG_CITY_NOT_LIVE_CITY,accepted,keep_as_binary_0_1,no_missing_handling_needed,standard_binary_validation_later,low,no,binary_decision_accepted,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
REG_CITY_NOT_WORK_CITY,accepted,keep_as_binary_0_1,no_missing_handling_needed,standard_binary_validation_later,low,no,binary_decision_accepted,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
REG_REGION_NOT_LIVE_REGION,accepted,keep_as_binary_0_1,no_missing_handling_needed,standard_binary_validation_later,low,no,binary_decision_accepted,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
REG_REGION_NOT_WORK_REGION,accepted,keep_as_binary_0_1,no_missing_handling_needed,standard_binary_validation_later,low,no,binary_decision_accepted,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
bureau_bad_debt_count,risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
bureau_latest_credit_active_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
bureau_latest_credit_closed_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
bureau_latest_type_business_loan_flag,risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
bureau_latest_type_car_loan_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
bureau_latest_type_consumer_credit_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
bureau_latest_type_credit_card_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
bureau_latest_type_microloan_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later,medium,no,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
bureau_latest_type_mortgage_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later,low,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
bureau_latest_type_working_capital_loan_flag,risk_corrected_and_route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later,medium,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_contract_with_dpd_30plus_count,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_contract_with_dpd_60plus_count,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_contract_with_dpd_90plus_count,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_contract_with_dpd_def_30plus_count,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_contract_with_dpd_def_60plus_count,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_contract_with_dpd_def_90plus_count,route_refined,keep_rare_binary_with_structured_missing_indicator_validate_later,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,near_constant_or_extreme_rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; extreme_rare_side_or_almost_constant; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_dpd_30plus_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_dpd_60plus_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_dpd_90plus_flag,risk_corrected_and_route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_has_atm_drawing_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_has_dpd,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_has_dpd_def,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_has_dpd_def_max,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_has_dpd_def_min,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_has_dpd_def_sum,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,rare_side_validation_later | group_redundancy_review_later | missing_signal_validation_later,high,yes,missing_is_structured_history_absence_or_unknown; rare_side_binary; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_has_dpd_max,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_has_dpd_min,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_has_dpd_sum,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_has_drawing_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_has_pos_drawing_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_high_utilization_100plus_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_high_utilization_80plus_flag,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
cc_latest_high_utilization_80plus_flag_max,route_refined,keep_binary_with_structured_missing_indicator,treat_missing_as_structured_no_history_or_unknown; keep_missing_indicator_candidate,group_redundancy_review_later | missing_signal_validation_later,medium,no,missing_is_structured_history_absence_or_unknown; same_source_group_redundancy_review_later,no,"use binary decision only; validate target signal, redundancy, and missing-signal impact later"
